# Les vingt-quatre termes solaires (二十四节气) : une ligne par terme.
#
# Écrit par `uv run wenlu saisons calendrier` : ne pas éditer à la main.
# Source : instants des termes calculés hors ligne par la bibliothèque
# lunar_python 1.4.8 (MIT, https://github.com/6tail/lunar-python), à l'heure
# de Pékin (UTC+8), comme le calendrier chinois les compte. Contrôlés par les tests
# contre des dates connues : 秋分 2026-09-23, 冬至 2026-12-22, 立春 2027-02-04.
#
# `debut` : le jour où le terme commence ; `heure` : l'instant exact, à Pékin ;
# `fin` : le jour où commence le terme suivant. Un terme court de `debut` à la veille
# de `fin`. La première ligne est le 冬至 de 2025, qui couvre les premiers jours de
# 2026 : chaque jour de 2026 à 2035 a son terme.
#
terme	nom	debut	heure	fin	source
qiufen	秋分	2030-09-23	07:26:55	2030-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2030-10-08	13:45:17	2030-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2030-10-23	17:00:35	2030-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2030-11-07	17:08:44	2030-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2030-11-22	14:44:36	2030-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2030-12-07	10:07:37	2030-12-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2030-12-22	04:09:37	2031-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2031-01-05	21:23:09	2031-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2031-01-20	14:47:58	2031-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2031-02-04	08:58:19	2031-02-19	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2031-02-19	04:50:55	2031-03-06	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2031-03-06	02:51:03	2031-03-21	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2031-03-21	03:40:58	2031-04-05	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2031-04-05	07:28:24	2031-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2031-04-20	14:31:14	2031-05-06	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2031-05-06	00:35:12	2031-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2031-05-21	13:27:55	2031-06-06	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2031-06-06	04:35:42	2031-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2031-06-21	21:17:08	2031-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2031-07-07	14:48:51	2031-07-23	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2031-07-23	08:10:28	2031-08-08	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2031-08-08	00:42:56	2031-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2031-08-23	15:23:20	2031-09-08	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2031-09-08	03:50:11	2031-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2031-09-23	13:15:19	2031-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2031-10-08	19:42:59	2031-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2031-10-23	22:49:27	2031-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2031-11-07	23:05:40	2031-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2031-11-22	20:32:36	2031-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2031-12-07	16:02:53	2031-12-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2031-12-22	09:55:33	2032-01-06	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2032-01-06	03:16:07	2032-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2032-01-20	20:31:19	2032-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2032-02-04	14:48:59	2032-02-19	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2032-02-19	10:32:15	2032-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2032-03-05	08:40:15	2032-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2032-03-20	09:21:55	2032-04-04	lunar_python 1.4.8, Lunar.getNextJieQi()
